oper_num	bid_sector	iati_sector	description
IADB-ME-L1007	IS-POV	16010	The operation is the second phase of a multi-phase operation, ME-0244. Triggers to the second phase include evaluating impacts on urban beneficiaries.
IADB-ME0255	IS	15110	"Main objective will be to support SEDESOL in the execution of its ""Habitat""program, paying special attention to: (i) urban poverty improvement; (ii) women heads of households; and (iii) slum upgrading. The program will also include a component for the evaluation of all the social programs under SEDESOL's responsibility."
IADB-ME0259	RM-FIN	15111	In the last three years the authorities have performed a series of financial reforms in the banking sector, the stock market and the promotion of the saving and the popular credit. The objective of these reforms has been the fortification of the market mechanisms and the deepening and extension of the financial markets. The present operation of US$600 million, with two equal sections of US$300 million each one, will support the implantation of directed measures to continue and to deepen the process of policies reforms in three areas: 1) the banking system: The Mexican banking system has been solidifying its capital base and resuming the credit granting. In spite of the important advances, still an important increase of the credit to the PYMEs and certain reforms to the frame of supervision of the regulated financial organizations are needed. The measures considered in the project will include the strengthening of the mechanisms of early alert, sanctions regime, as well as the intervention faculties and corrective action of the CNBV. In addition, measures will be implanted to reduce the transaction costs of the credit operations to the PYMEs. 2) The capital markets: The stock-exchange financing has been growing rapidly in Mexico, impelled by the increase of the financial saving. The resources canalized through the institutional investors (Administrators of Pensions Funds, Investment funds) have been growing, increasing near approximately 2% of the GIP in 1997 to near 10% of the GIP by the end of 2003. In order to adjust to the last developments of the market and to the best international practices, the authorities are considering to make a series of modifications to the regulatory frame of the capital market. Within the Program directed measures are contemplated to strengthen the protection of the minority stockholders, the schemes of corporative government and the obligations to reveal and publish information. Also, mechanisms will be explored to facilitate the access from the PYMEs to the capital markets. 3) Public debt market: Like in other countries, in Mexico the public debt markets have been a very important factor in the development of the market of debt in general. The deliberate strategy applied by the authorities has allowed to the diversification of instruments and the expansion of terms generating an efficiency curve that today reaches the twenty years with instruments of fixed rate. That effort has allowed the consequent development of the market of private debt. The operation will include measures to gather and to extend this experience, that will be directed to introduce improvements in the mechanisms from information to the market, the development of new instruments, the diversification of the base of investors and the institutional strengthening of the institutional mechanism of the public debt.
IADB-ME0250	ED-VOC	11430	The project aims to improve quality and efficiency of technical education in Mexico, by means of making technical education more pertinent with respect to the needs of the productive sector. The project will achieve the above by updating and generating additional competency-based technical norms under the private sector leadership, which will stand as reference to the ongoing transformation of the study plans within the schools
IADB-ME0240	TD-TAA	33181	The objective of the Program is to strengthen the competitiveness of small and medium enterprises (SMEs) in Mexico to enable them to participate in export markets. The lack of access to medium and long-term finance is among the barriers that limit the development of the export-oriented SME sector. In order to facilitate access to such finance, the Government of Mexico has requested support from the IDB for Bancomext, both to address its financial condition as well as its operations, with an eye to support Bancomext's efforts to execute its mission both efficiently and competitively, without introducing distortions into the financial markets.
XM-DAC-301-2-103957-001	00001	41010	The Institute of Advanced Studies Canada-Mexico (IASCM-IEAMC) is a partnership between the University of Western Ontario (UWO),Canada, and four Mexican universities: Universidad Autonoma de Zacatecas; Universidad San Luis Potosi; Instituto Tecnologico de Celaya; and Universidad Michoacana San Nicolas Hidalgo. The purpose of the Institute is to research issues of environmental protection that are of importance to both Canada and Mexico, such as alternative sources of energy and fuels, energy transportation and distribution, and energy-related health, sociocultural, legal and migration issues. This grant will support activities aimed at developing the institutional capacity of the IASCM, including a meeting of the IASCM steering committee, workshops with various stakeholders, preparation of a 10-year plan and four 10-day working visits to Canada and Mexico by IASCM directors. During the working visits, the directors will meet with potential partners from universities, governmental and non-governmental agencies, and industry.
IADB-ME0212	AS	14020	The project seeks to improve drinking water supply and sanitation service coverage in rural areas through mechanisms that promote quality and sustainability. The project will promote: (i) decentralization of functions and resources, (ii) increased community participation, and (iii) efficient service provision.
XM-DAC-301-2-104231-001	00001	16010	Latin American countries are rapidly catching up to the industrialized countries of the North in terms of birthrate and lifespan. Depending on the choice of policy, the aging population could generate increased public debt or increased private investment. This grant will allow researchers to analyze social protection systems in Brazil, Chile, Costa Rica, Mexico and Uruguay using a modified National Transfer Accounts methodology. Of the five countries, the three smaller ones (Chile, Costa Rica and Uruguay) have well-established high-coverage social security systems, and the two larger ones (Brazil and Mexico) have comprehensive but low-coverage systems. The project will expand current understanding of transfers, demographic trends, intergenerational equity and the sustainability of social protection through transfers. It is also expected to inform the design of social protection schemes in the countries under study.
IADB-ME-L1012	IS-EMP	16020	The Program specific objectives are: (i) to foster initiatives of co-responsibility in which the Migrants and the three Government levels execute shared investment projects in order to improve the socio-economic conditions of selected communities; (ii) promote co-investment initiatives channeled to high emigration communities and high poverty levels; and (iii) to impulse identity links of the Migrants towards their communities of origin.
XM-DAC-301-2-104842-001	00003	11240	A substantial body of scientific evidence is emerging to suggest that many social and developmental disorders can be prevented by appropriate intervention at the earliest stages of childhood development. These studies indicate that many developmental, psychological, behavioural, physical and cognitive problems experienced by children at school-entry could have been mitigated through appropriate programs, thereby overcoming the legacy of underachievement and emotional difficulty imposed on children from impoverished or disadvantaged backgrounds.The proposed research initiative is designed to address the following three questions. Can the reported low rates of developmental, psychological and behavioural disorders in Cuba be validated? Can it be rigorously demonstrated that these prevalence rates are due to early childhood development programs? Can the principles embodied in these programs be exported to a different cultural and political context?This grant will provide start-up funding for a longitudinal study and early childhood education reform initiative. It will do so by supporting the engagement of a program coordinator and contributing to the cost of a protocol design meeting in Havana in December, 2007, plus a review meeting one year later. The protocol - a cross-sectional/longitudinal analysis - will be used to assess the number of vulnerable 5 year-old children in Cuba, and in comparable locations in Mexico and Canada. Researchers will compare the development of emotional control in 2-year-olds and 5-year-olds in the three countries. The basic question that needs to be addressed is whether there is little variance in the neural profiles of the 2-year-olds but significant difference in the 5-year-olds.
IADB-ME0256	RM-DES	15112	EN
XM-DAC-301-2-105046-001	00001	31110	As a result of the drastic drop in international prices, several traditional coffee-growing areas in Veracruz, Mexico, are experiencing an increased rate of migration to Mexico City and the United States. The migrants - predominantly young men - send back remittances that are used by the remaining family members to pay debts and, in some cases, buy additional land or cattle. Selective migration has resulted in changes in traditional agricultural practices and natural resource use, with women taking on tasks usually performed by men, such as farm management and investment. But, this has not necessarily given women more autonomy in decision-making. This project will study changes in the division of labour between domestic groups resulting from accelerated migration, and their effect on access to, control of and benefits from natural resources. The idea is to enable more effective use of remittances to improve natural resource management at the community level and enhance the livelihoods of the families that stay on the land.
IADB-ME-L1019	DU-NEI	16040	Phase II main objective is to support GOM efforts so that, through Habitat, it could decrease current levels of urban poverty and improve the quality of life of urban families under the poverty line. This will be achieved by granting adequate access to social services and basic infrastructure to these families.
IADB-ME-L1053	PA	41010	The objective of the Program is to develop the instruments and means necessary to implement the climate change mitigation and adaptation agenda based on an operational framework and to strengthen the institutional framework to support the mainstreaming of climate change considerations into public policy.
IADB-ME-L1004	IS-EMP	16020	The principal objective of Phase II is to improve the link between available quality jobs and those looking for employment, within the context of equal opportunity for women and men. The objective of the Program is to promote the development, potential employment, labor mobility, and productivity of workers so they are more competitive, as well as strengthen the institutional capacity for labor market sector policy planning, analysis and programming.
IADB-ME-L1063	FM-CAP	24020	The general goal of the Line and this, its First Program, is to promote the efficient and inclusive development of housing finance markets in México. Its purpose is to provide SHF with tools to strengthen the structure of its liabilities so as to permit it to continue countering the downturn in financial markets as a source of liquidity, fostering the efficient development of primary and secondary markets and expanding access to housing finance to populations previously unserved or underserved.
XM-DAC-301-2-105342-006	00001	15220	Haiti continues to face serious challenges in the area of state building and democratization. A group of Latin American countries have assumed an active role within the peacekeeping forces coordinated by the United Nations Stabilization Mission in Haiti (MINUSTAH). Their effectiveness in this role depends on their ability to access and process evidence on the impact of their military and civil cooperation efforts. With collaboration from IDRC, research institutions in Argentina, Brazil, Chile and Mexico have begun studying Haiti's social, economic and political problems, and how to address them. This project will support these efforts by promoting the implementation of more and better studies, improving the training of young researchers, encouraging exchange and collaboration between research institutions, and facilitating debate in Latin America and the Caribbean on state-building in Haiti.
XM-DAC-301-2-105342-003	00001	15220	Haiti continues to face serious challenges in the area of state building and democratization. A group of Latin American countries have assumed an active role within the peacekeeping forces coordinated by the United Nations Stabilization Mission in Haiti (MINUSTAH). Their effectiveness in this role depends on their ability to access and process evidence on the impact of their military and civil cooperation efforts. With collaboration from IDRC, research institutions in Argentina, Brazil, Chile and Mexico have begun studying Haiti's social, economic and political problems, and how to address them. This project will support these efforts by promoting the implementation of more and better studies, improving the training of young researchers, encouraging exchange and collaboration between research institutions, and facilitating debate in Latin America and the Caribbean on state-building in Haiti.
XM-DAC-301-2-105342-005	00001	15220	Haiti continues to face serious challenges in the area of state building and democratization. A group of Latin American countries have assumed an active role within the peacekeeping forces coordinated by the United Nations Stabilization Mission in Haiti (MINUSTAH). Their effectiveness in this role depends on their ability to access and process evidence on the impact of their military and civil cooperation efforts. With collaboration from IDRC, research institutions in Argentina, Brazil, Chile and Mexico have begun studying Haiti's social, economic and political problems, and how to address them. This project will support these efforts by promoting the implementation of more and better studies, improving the training of young researchers, encouraging exchange and collaboration between research institutions, and facilitating debate in Latin America and the Caribbean on state-building in Haiti.
XM-DAC-301-2-105342-004	00001	15220	Haiti continues to face serious challenges in the area of state building and democratization. A group of Latin American countries have assumed an active role within the peacekeeping forces coordinated by the United Nations Stabilization Mission in Haiti (MINUSTAH). Their effectiveness in this role depends on their ability to access and process evidence on the impact of their military and civil cooperation efforts. With collaboration from IDRC, research institutions in Argentina, Brazil, Chile and Mexico have begun studying Haiti's social, economic and political problems, and how to address them. This project will support these efforts by promoting the implementation of more and better studies, improving the training of young researchers, encouraging exchange and collaboration between research institutions, and facilitating debate in Latin America and the Caribbean on state-building in Haiti.
